user_id,statuses_count,followers_count,friends_count,listed_count,created_at,emoji_in_bio
39842001,65123,1443,1316,66,2009-05-13 21:34:30,[]
40207877,39451,1921,2089,168,2009-05-15 09:21:28,[]
40629476,112466,2102,2948,60,2009-05-17 08:26:46,[]
41335841,62963,8347,3880,1639,2009-05-20 10:53:46,"['🇪', '🇸', '🇺', '🇸']"
42213713,11066,319,853,6,2009-05-24 13:46:30,"['🇺', '🇦']"
42424530,45739,8201,981,659,2009-05-25 15:29:05,[]
42463356,4873,324,638,14,2009-05-25 18:56:53,[]
44395206,5285,6665,2038,349,2009-06-03 16:34:39,[]
44640535,238,186,232,4,2009-06-04 15:29:38,[]
44910987,18473,422,458,4,2009-06-05 15:04:57,[]
45818188,49561,3667,2945,311,2009-06-09 11:39:41,[]
46358249,1961,99,521,4,2009-06-11 10:16:20,[]
46366986,191168,1634,1284,59,2009-06-11 11:27:14,[]
48023856,2301,2975,500,140,2009-06-17 16:44:11,[]
48135797,3824,923,898,10,2009-06-17 22:05:44,[]
48298430,7829,305,281,7,2009-06-18 09:20:16,[]
49767631,10472,346,828,0,2009-06-22 21:12:56,[]
49954027,2634,2758,1958,34,2009-06-23 11:48:51,"['🇪', '🇸']"
53140494,61424,857,756,17,2009-07-02 18:12:23,[]
53353990,8977,307,1063,20,2009-07-03 10:46:15,"['🇧', '🇷', '🇪', '🇸', '🇫', '🇷']"
54036470,7494,146,425,4,2009-07-05 23:11:28,[]
54200609,877,179,440,1,2009-07-06 13:15:37,[]
54886012,11316,624,295,5,2009-07-08 12:53:40,[]
55273629,15640,764,511,76,2009-07-09 15:53:21,[]
59724813,6279,1360,1675,49,2009-07-24 08:06:14,[]
60159471,7749,576,896,36,2009-07-25 21:58:04,[]
60573195,27209,1987,1266,43,2009-07-27 11:47:38,[]
61567059,130252,2773,4999,384,2009-07-30 18:55:50,[]
62238452,17210,1199,1722,39,2009-08-02 10:28:31,[]
62349151,29568,727,767,2,2009-08-02 21:00:55,[]
63690054,27788,307,108,10,2009-08-07 11:04:57,[]
63765675,267304,5948,1370,215,2009-08-07 16:29:25,[]
64721604,45948,33610,325,390,2009-08-11 14:05:08,[]
64794485,60201,4077,1416,92,2009-08-11 19:17:45,[]
66647957,5417,1128,2311,24,2009-08-18 10:26:51,[]
69326657,23389,12268,3428,92,2009-08-27 15:57:51,[]
70650905,21001,212,185,1,2009-09-01 10:46:47,[]
71297565,4559,457,653,2,2009-09-03 16:40:39,[]
73341746,34283,17893,1540,511,2009-09-11 08:38:49,[]
73927838,15246,182,281,3,2009-09-13 17:24:50,[]
75804609,85646,5152,2832,30,2009-09-20 15:11:31,[]
76080332,97722,128642,6168,617,2009-09-21 17:10:12,[]
76408592,6201,752,451,42,2009-09-22 18:29:17,[]
76593802,761329,110107,90428,871,2009-09-23 08:29:25,[]
79124132,95226,82150,1000,299,2009-10-02 07:41:13,[]
80853822,31752,4102,982,397,2009-10-08 13:56:23,[]
81571983,44896,8587,8086,165,2009-10-11 11:06:49,[]
81831996,8287,846,1145,150,2009-10-12 12:37:57,[]
82408359,16122,1244,2801,76,2009-10-14 17:17:40,[]
83189891,9301,5825,4724,198,2009-10-17 18:24:07,[]
83427283,42025,10104,6565,170,2009-10-18 19:33:36,[]
83540551,25744,420,100,66,2009-10-19 06:51:15,[]
86298377,3098,378,385,11,2009-10-30 12:13:45,[]
86360911,807,661,649,0,2009-10-30 17:43:19,[]
86504484,962,172,666,7,2009-10-31 10:48:30,[]
87061526,2117,237,900,5,2009-11-02 23:47:06,[]
87485942,111742,1159,471,29,2009-11-04 17:21:32,[]
87575128,79016,683,1092,2,2009-11-05 00:31:25,[]
87894083,21506,724,676,4,2009-11-06 08:02:55,[]
88385100,21359,453,578,39,2009-11-08 09:19:07,[]
89751520,9996,274,768,0,2009-11-13 17:43:15,[]
90046725,4223,435,527,9,2009-11-14 23:33:47,[]
90435593,4613,1157,1443,37,2009-11-16 17:08:26,[]
90653296,28228,2118,5001,100,2009-11-17 15:38:15,[]
90862588,101169,3664,3590,72,2009-11-18 12:49:04,[]
91446925,6992,200,304,2,2009-11-20 23:05:13,[]
93075908,4087,1090,1113,74,2009-11-27 23:50:23,[]
93936231,45835,1595,1188,71,2009-12-01 20:27:42,[]
94387415,4626,186,82,0,2009-12-03 18:44:04,"['🇮', '🇹']"
94440356,26391,3327,1243,166,2009-12-03 23:27:56,[]
94686612,12797,1126,1594,16,2009-12-05 00:51:43,[]
94819525,17123,850,1603,48,2009-12-05 16:16:33,[]
95959944,2835,196,200,1,2009-12-10 18:51:31,[]
99735854,4607,600,1790,6,2009-12-27 16:23:13,[]
100044793,2816,134,515,1,2009-12-28 20:53:46,[]
100481809,40192,1111,335,39,2009-12-30 12:09:30,[]
100515720,36692,488,225,41,2009-12-30 14:54:10,[]
100539810,4116,1175,1026,14,2009-12-30 16:41:05,[]
100611628,26575,620,902,21,2009-12-30 22:25:46,[]
101211935,11600,231,677,2,2010-01-02 12:35:52,[]
101524444,84703,706,171,42,2010-01-03 17:07:43,"['🇪', '🇺']"
102015242,158090,11858,4308,479,2010-01-05 09:36:00,[]
102100426,33868,490,1138,18,2010-01-05 16:24:05,[]
102420396,18075,987,588,15,2010-01-06 16:56:01,[]
103163709,9171,422,902,6,2010-01-09 03:21:09,"['🇪', '🇸', '🇲', '🇽']"
103596271,45789,1414,1994,56,2010-01-10 15:40:52,[]
104431004,94756,1370,1158,19,2010-01-13 09:14:19,[]
105629019,64899,1155,1155,11,2010-01-16 23:57:41,"['🇪', '🇺']"
105922645,16923,1205,2147,52,2010-01-17 23:22:27,[]
106512574,11591,514,1387,9,2010-01-19 20:20:07,[]
108042034,25740,1797,3337,23,2010-01-24 16:45:52,[]
108076878,2386,664,682,10,2010-01-24 19:27:06,"['🇨', '🇱']"
111724395,81275,530,300,50,2010-02-05 23:24:23,[]
114657300,41142,9244,3623,56,2010-02-16 05:22:39,[]
116383117,3537,116,263,3,2010-02-22 07:32:32,[]
117029929,18104,6565,2130,189,2010-02-24 09:28:34,[]
118357405,26070,269,299,0,2010-02-28 12:18:09,[]
119181575,24550,4513,4510,104,2010-03-02 22:30:59,[]
119194942,8959,2877,989,16,2010-03-02 23:18:19,[]
119667555,20840,1060,211,32,2010-03-04 08:40:40,[]
121176154,70577,1244,3592,33,2010-03-08 17:26:21,[]
121454999,6078,252,438,5,2010-03-09 15:09:33,[]
121544131,9380,2667,481,0,2010-03-09 20:57:20,[]
122319254,5068,2116,1826,38,2010-03-12 09:16:44,[]
123047937,6350,211,256,2,2010-03-14 20:28:10,[]
125463912,29077,1892,773,59,2010-03-22 22:29:55,[]
126939997,99463,1389,1973,18,2010-03-27 14:04:15,[]
127636330,35908,576,667,6,2010-03-29 20:32:46,[]
129267780,78620,3205,2461,55,2010-04-03 18:43:02,[]
129547986,5605,667,749,2,2010-04-04 17:21:51,"['🇪', '🇦']"
130383923,24086,2474,3001,4,2010-04-07 04:05:19,[]
130866861,8233,2525,1737,22,2010-04-08 15:25:28,[]
131991099,6832,708,1067,10,2010-04-12 00:08:18,[]
132012068,8172,1006,1396,3,2010-04-12 01:36:16,[]
132666884,22767,2752,1806,101,2010-04-13 21:34:43,[]
133693469,6418,561,500,8,2010-04-16 11:52:17,[]
133936058,61743,4000,3744,17,2010-04-17 01:35:30,[]
134178750,6686,2977,538,243,2010-04-17 17:24:33,[]
135591166,69398,1892,1736,34,2010-04-21 18:53:20,[]
135642125,38699,5196,5187,348,2010-04-21 22:05:27,[]
135793103,15684,22803,1017,36,2010-04-22 07:31:20,[]
136394031,97656,1380,578,34,2010-04-23 20:45:14,[]
137844148,37495,1023,3683,59,2010-04-27 23:06:52,[]
138125846,5639,318,704,3,2010-04-28 17:57:41,[]
139460759,56616,916,1067,25,2010-05-02 17:49:41,[]
139975953,6936,600,392,85,2010-05-04 06:07:58,[]
140183463,10928,1714,539,29,2010-05-04 20:43:51,[]
140404170,4544,205,236,2,2010-05-05 12:02:31,[]
140795123,70186,483,194,2,2010-05-06 11:34:49,[]
141683077,9830,91,392,8,2010-05-08 18:48:00,[]
142709143,13743,3801,1747,83,2010-05-11 15:03:04,[]
142805368,39692,422,989,6,2010-05-11 20:28:05,[]
143470736,44899,1440,2742,63,2010-05-13 15:11:27,[]
143601625,4171,182,143,5,2010-05-13 22:48:05,[]
146251287,5429,299,264,6,2010-05-21 00:07:53,[]
146791754,15899,4928,1165,104,2010-05-22 10:23:16,[]
148286025,4381,3199,460,61,2010-05-26 09:22:01,[]
148385313,35220,676,920,5,2010-05-26 15:24:00,[]
148500617,2402,163,647,1,2010-05-26 21:35:09,[]
148787563,65836,995,954,6,2010-05-27 16:10:27,[]
149605037,2531,371,108,7,2010-05-29 18:29:48,[]
150344776,3892,233,185,3,2010-05-31 18:07:15,[]
150618405,12964,4069,1138,18,2010-06-01 11:30:48,[]
150990323,1457,168,243,5,2010-06-02 09:56:18,[]
153816503,103446,1603,1407,67,2010-06-09 15:26:07,[]
154272821,3156,153,212,1,2010-06-10 20:41:41,[]
155235799,51759,4057,586,82,2010-06-13 15:05:13,[]
155236974,97342,2326,758,25,2010-06-13 15:08:58,[]
155948100,196,96,259,0,2010-06-15 16:04:29,[]
158772213,92433,2150,1775,58,2010-06-23 15:49:18,[]
159072956,1404007,79650,42150,868,2010-06-24 11:15:43,[]
161021621,112156,20770,4245,247,2010-06-29 19:39:34,"['🇪', '🇺']"
162405819,963,315,735,7,2010-07-03 15:24:30,[]
162841104,4244,549,676,4,2010-07-04 21:05:10,[]
163204065,34350,864,2906,5,2010-07-05 20:32:07,[]
166217631,5183,264,361,0,2010-07-13 16:38:50,[]
166479666,8761,443,581,10,2010-07-14 07:21:30,[]
168446862,23889,521,764,38,2010-07-19 10:19:03,[]
168520210,7837,2770,1352,103,2010-07-19 15:41:45,[]
168822988,3517,438,277,1,2010-07-20 21:56:53,"['🇪', '🇸']"
169682122,1832,72,607,1,2010-07-22 22:48:21,[]
169970454,3763,111,173,5,2010-07-23 16:40:32,[]
172388258,9376,491,172,20,2010-07-29 15:59:24,[]
177120205,10497,253,338,12,2010-08-11 08:43:58,[]
179028690,46807,2619,2318,5,2010-08-16 09:22:31,[]
179695486,12950,1158,1145,3,2010-08-17 22:39:11,[]
180571299,949,669,483,1,2010-08-19 23:35:55,[]
181218060,31531,736,620,1,2010-08-21 16:23:11,[]
181252181,14600,3539,3916,92,2010-08-21 18:18:08,[]
181297332,3983,211,155,3,2010-08-21 20:53:00,[]
181472023,3647,397,592,11,2010-08-22 08:27:06,[]
182783134,41492,3201,2377,15,2010-08-25 11:33:52,[]
182971274,76,43,257,0,2010-08-25 21:09:34,[]
183184911,32265,1700,3512,26,2010-08-26 10:42:28,[]
183583012,7126,315,424,6,2010-08-27 10:55:10,[]
184554911,5171,357,271,1,2010-08-29 21:50:36,[]
184909162,82204,2039,589,23,2010-08-30 19:50:21,"['🇪', '🇸']"
185608669,28334,5379,1668,10,2010-09-01 12:02:34,"['🇪', '🇸']"
185732836,4179,493,231,0,2010-09-01 18:13:47,[]
185789961,754422,896,696,69,2010-09-01 21:06:16,[]
186170312,374584,1448,1216,46,2010-09-02 19:12:24,[]
186436549,1990,719,1126,8,2010-09-03 13:21:23,[]
186478529,953163,1954,870,147,2010-09-03 15:34:08,[]
187284953,1736,336,657,22,2010-09-05 20:09:53,[]
187981835,7461,3277,2061,27,2010-09-07 16:59:13,[]
188483256,14877,1935,1096,79,2010-09-08 21:01:57,[]
189483812,1455,91,200,5,2010-09-11 11:36:27,[]
190155538,1928,143,181,5,2010-09-13 06:14:09,[]
191125339,21864,456,497,1,2010-09-15 17:27:59,[]
191536547,380,129,238,6,2010-09-16 18:02:59,[]
193375862,92206,1088,983,4,2010-09-21 17:28:15,[]
194941226,3982,665,1235,0,2010-09-25 11:26:38,[]
195065263,100563,38219,36782,998,2010-09-25 18:14:08,[]
195907411,9462,417,916,32,2010-09-27 21:34:50,[]
196124212,51311,22569,6486,323,2010-09-28 11:48:44,[]
196946831,28641,256,189,16,2010-09-30 08:38:29,[]
198205905,3330,390,373,10,2010-10-03 17:10:13,[]
200177084,33084,557,1442,23,2010-10-08 16:49:42,[]
201846520,10199,255,287,3,2010-10-12 19:11:50,[]
202693425,9652,607,905,14,2010-10-14 16:26:05,[]
202712254,1980,5979,3139,984,2010-10-14 17:15:31,[]
204037006,2187,282,100,1,2010-10-17 19:40:48,[]
204434260,16534,893,1461,9,2010-10-18 17:48:15,"['🇲', '🇽']"
205749364,21232,28434,2724,701,2010-10-21 14:37:47,[]
205854723,12607,204,570,8,2010-10-21 19:06:43,[]
206646021,22187,561,1129,12,2010-10-23 12:05:25,[]
206832152,8005,3063,1275,250,2010-10-23 20:54:06,[]
207669006,21816,2568,2612,9,2010-10-25 20:08:35,[]
208190399,3565,159,219,0,2010-10-26 20:29:50,[]
208997341,22047,2013,2646,53,2010-10-28 10:06:16,[]
210361370,101096,1295,725,43,2010-10-31 07:43:08,[]
210472784,5448,523,385,11,2010-10-31 14:31:12,[]
210571585,7535,725,538,17,2010-10-31 19:18:09,[]
210907690,4002,4764,3218,0,2010-11-01 19:14:30,[]
211674312,1778,165,469,6,2010-11-03 22:51:15,[]
212551202,14254,2900,2301,78,2010-11-06 11:55:10,[]
213020479,2966,110,375,0,2010-11-07 18:53:23,[]
213426867,18181,7926,5535,377,2010-11-08 22:13:21,[]
214515740,489,392,951,3,2010-11-11 15:54:49,[]
214733538,14732,129,343,1,2010-11-12 02:55:50,[]
215212887,1201,172,180,2,2010-11-13 09:01:19,[]
215614178,65328,2590,746,45,2010-11-14 12:47:30,"['🇳', '🇬', '🇪', '🇦']"
215982068,7214,580,671,56,2010-11-15 13:37:12,[]
216758395,41751,747,924,7,2010-11-17 16:50:28,[]
217135519,20162,926,709,4,2010-11-18 17:45:13,[]
217427396,1222,1122,426,18,2010-11-19 14:12:34,[]
217779492,81108,1557,2352,110,2010-11-20 14:19:38,[]
218432733,7128,717,261,3,2010-11-22 10:11:54,[]
220148402,11994,482,269,4,2010-11-26 22:46:05,[]
220477794,20159,454,628,14,2010-11-27 22:33:17,[]
220736409,52029,9138,2147,239,2010-11-28 17:55:14,[]
220776890,5574,266,96,0,2010-11-28 20:11:25,[]
221037110,26110,3857,1710,120,2010-11-29 15:26:44,[]
221333461,14552,363,593,6,2010-11-30 11:21:17,[]
221835704,18341,2684,2526,52,2010-12-01 19:04:09,[]
222800006,143221,4950,5139,75,2010-12-04 13:59:31,[]
223181175,6454,2137,902,80,2010-12-05 16:55:40,[]
223499304,9654,5950,2107,92,2010-12-06 15:25:16,[]
224338096,22816,611,104,5,2010-12-08 19:01:55,[]
224741510,54727,7708,2051,344,2010-12-09 19:13:35,[]
225175229,1197,156,314,0,2010-12-10 22:10:54,[]
225443759,1858,104,110,1,2010-12-11 15:31:35,[]
226728523,55770,4306,464,113,2010-12-14 22:47:37,[]
227464142,10480,414,124,7,2010-12-16 22:22:59,[]
229060154,25434,650,1582,21,2010-12-21 12:04:19,[]
229554511,12917,5132,5032,69,2010-12-22 18:14:06,[]
229772420,66091,2072,1448,43,2010-12-23 08:30:36,[]
233470337,16122,419,1389,16,2011-01-03 09:25:08,[]
233634604,7783,165,159,1,2011-01-03 18:57:26,[]
233655225,3186,269,481,5,2011-01-03 19:59:53,[]
236918656,213674,2732,4904,104,2011-01-11 17:25:10,[]
237319178,9534,4321,2428,167,2011-01-12 15:37:48,[]
237839609,138252,21927,13324,679,2011-01-13 19:16:24,[]
238104061,9300,1394,1636,0,2011-01-14 11:10:36,[]
238543795,6977,272,255,6,2011-01-15 12:22:10,[]
238698933,198941,3013,3007,15,2011-01-15 20:32:02,[]
238711545,3220,2307,1965,80,2011-01-15 21:14:54,[]
239424561,3805,601,406,32,2011-01-17 15:59:43,[]
240149663,4354,789,792,55,2011-01-19 07:57:58,[]
240304353,20282,1061,878,0,2011-01-19 16:29:06,"['🇪', '🇸']"
240805460,10336,2583,4249,78,2011-01-20 19:52:06,[]
241062482,1962,846,1497,32,2011-01-21 11:03:26,[]
241239833,20488,893,731,9,2011-01-21 20:02:54,[]
241265297,74334,24160,5129,315,2011-01-21 21:16:55,[]
242511903,273036,1199,2216,86,2011-01-24 23:31:17,[]
242522290,34214,417,382,3,2011-01-25 00:04:39,[]
242725020,10801,1976,2401,57,2011-01-25 13:06:16,[]
242835524,3384,521,969,20,2011-01-25 18:17:26,[]
243646592,10162,492,766,69,2011-01-27 14:20:04,[]
243807141,34234,466,1075,10,2011-01-27 21:20:18,[]
244982488,160470,3928,5001,318,2011-01-30 16:03:02,[]
245113308,1041,482,242,0,2011-01-30 22:36:26,[]
245126167,55626,2985,475,67,2011-01-30 23:18:06,[]
245302776,729,205,222,6,2011-01-31 11:08:52,[]
245376097,4844,549,640,4,2011-01-31 15:11:58,[]
245780158,31433,413,176,8,2011-02-01 13:15:03,[]
246369119,88899,11215,7494,93,2011-02-02 17:26:54,[]
246739853,113502,890,706,55,2011-02-03 11:12:16,[]
246882293,231,27,281,0,2011-02-03 17:18:26,[]
247292021,12275,701,969,4,2011-02-04 14:05:34,[]
247659262,24764,2352,1165,53,2011-02-05 08:24:04,[]
248200972,16111,183,106,3,2011-02-06 13:41:18,[]
248213654,9244,35754,4623,142,2011-02-06 14:17:18,[]
248267147,140682,5219,990,60,2011-02-06 16:45:02,[]
248641111,166352,6114,5625,96,2011-02-07 12:29:52,"['🇪', '🇦']"
249247178,2090,737,466,12,2011-02-08 17:27:12,[]
249303934,14335,483,346,7,2011-02-08 19:41:07,[]
250629260,65468,761,1271,18,2011-02-11 13:40:26,[]
250655439,59604,10097,8554,377,2011-02-11 14:49:05,[]
250800885,1145,255,383,7,2011-02-11 20:52:35,[]
250902224,13733,284,469,33,2011-02-12 01:36:56,[]
251718832,31385,592,740,10,2011-02-13 18:23:01,[]
252484774,4285,64,465,0,2011-02-15 08:48:19,[]
252703624,6080,1065,2071,5,2011-02-15 18:53:01,[]
253150708,18534,3211,2053,56,2011-02-16 17:18:43,[]
253311701,5585,279,172,1,2011-02-17 00:14:59,[]
253585444,19019,1078,1450,4,2011-02-17 15:06:18,[]
254049945,51187,4440,2345,17,2011-02-18 14:01:27,[]
254253084,21361,317,1153,19,2011-02-18 22:59:44,[]
255099505,545,211,132,2,2011-02-20 17:36:48,[]
255110080,5515,198,245,2,2011-02-20 18:03:04,[]
255137188,4592,1316,1727,26,2011-02-20 19:11:55,[]
255578406,9827,1427,1305,16,2011-02-21 17:11:01,[]
257578433,46145,6525,2961,206,2011-02-25 18:42:39,[]
257705859,70195,890,1061,29,2011-02-26 00:38:38,[]
259797406,29457,467,77,7,2011-03-02 16:29:37,[]
259848178,70103,1198,437,14,2011-03-02 18:31:41,[]
260115329,1303,95,441,0,2011-03-03 06:44:19,[]
260471164,1830,342,171,1,2011-03-03 23:20:48,[]
260926245,29932,1313,838,5,2011-03-04 22:11:35,[]
261121099,71042,4007,5001,74,2011-03-05 08:22:09,[]
261225455,14307,23494,1739,329,2011-03-05 14:24:41,[]
262679454,18856,674,644,13,2011-03-08 14:52:03,[]
262740121,6468,128,287,19,2011-03-08 17:21:41,[]
262850062,124521,1256,1286,25,2011-03-08 22:01:45,[]
263404798,2291,262,315,2,2011-03-10 00:09:55,[]
263689257,88950,6180,999,39,2011-03-10 15:01:27,[]
263906729,79905,24701,797,564,2011-03-10 23:53:14,[]
264120630,10968,1277,872,88,2011-03-11 10:59:45,[]
264463869,102532,2038,945,16,2011-03-11 23:29:10,[]
264907196,126153,2116,1924,34,2011-03-12 17:13:39,[]
264979205,26652,2602,923,95,2011-03-12 20:00:51,[]
265347028,111371,583,438,26,2011-03-13 11:52:41,[]
266002870,234,16,60,0,2011-03-14 13:46:12,[]
266111879,4683,143,597,4,2011-03-14 17:41:56,[]
266486016,16640,3880,1877,199,2011-03-15 09:23:25,[]
266604783,1832,232,344,5,2011-03-15 14:12:08,[]
266659349,156784,27563,1870,357,2011-03-15 15:54:23,[]
266869933,1402,101,406,3,2011-03-15 23:38:18,[]
267178045,52091,1473,1194,17,2011-03-16 13:20:15,[]
267755229,11089,172,579,0,2011-03-17 13:45:16,[]
267822866,12290,1661,956,22,2011-03-17 16:15:14,"['🇪', '🇸']"
268989775,23307,46689,1949,531,2011-03-19 22:01:26,[]
268991406,6316,856,1431,17,2011-03-19 22:05:55,"['🇪', '🇦']"
269379415,7755,370,587,4,2011-03-20 17:15:52,[]
269705594,3370,806,1763,5,2011-03-21 09:16:49,[]
269860000,244289,1121,681,46,2011-03-21 15:42:53,[]
270000707,2548,395,404,13,2011-03-21 20:47:45,[]
270033444,11637,857,2155,35,2011-03-21 21:50:16,[]
270228894,5559,977,883,36,2011-03-22 07:03:17,[]
270275936,1005,219,513,4,2011-03-22 09:40:02,[]
271031808,8955,291,389,11,2011-03-23 18:37:10,[]
271606503,1118,75,786,2,2011-03-24 21:10:10,[]
271928157,11993,653,881,7,2011-03-25 13:22:01,[]
271959891,23198,309,495,1,2011-03-25 14:40:54,[]
272159341,36957,440,908,7,2011-03-25 23:32:34,[]
273619782,38594,2642,981,48,2011-03-28 21:01:26,[]
273905105,152,17,38,0,2011-03-29 10:51:05,[]
273905774,10298,2879,1688,62,2011-03-29 10:53:27,[]
274066524,1761,292,785,3,2011-03-29 17:23:41,[]
274180153,505,312,127,4,2011-03-29 21:58:55,[]
274642725,491,88,215,4,2011-03-30 18:02:03,[]
275802423,29943,111949,1310,413,2011-04-02 01:27:45,[]
276409755,15306,3237,686,39,2011-04-03 09:04:42,[]
277462026,1595,422,605,4,2011-04-05 12:29:57,"['🇪', '🇸']"
277566049,2528,1602,925,32,2011-04-05 16:38:15,[]
278505896,5881,354,702,3,2011-04-07 12:14:08,[]
278600099,214876,6309,6069,60,2011-04-07 15:56:17,[]
278620151,39571,1780,1622,20,2011-04-07 16:43:24,[]
279964815,1341,1376,580,2,2011-04-10 10:55:08,[]
280577347,5989,537,455,25,2011-04-11 16:15:44,[]
280702564,15744,957,992,76,2011-04-11 21:47:54,[]
281106904,26091,1080,303,24,2011-04-12 17:05:59,[]
281583744,18877,196,146,7,2011-04-13 15:26:40,[]
282110881,5117,1434,10,85,2011-04-14 15:28:48,[]
282159522,16365,786,1082,3,2011-04-14 17:23:31,[]
282168528,158892,5618,3968,80,2011-04-14 17:45:07,[]
282230500,4734,355,972,12,2011-04-14 20:19:37,[]
282814299,4308,631,861,9,2011-04-16 00:19:32,[]
283785561,44246,2215,2354,23,2011-04-18 01:15:56,"['🇪', '🇸']"
284087730,111678,2582,3208,17,2011-04-18 16:06:04,[]
285350513,3605,173,194,0,2011-04-21 00:34:00,[]
285739107,34585,1401,2234,0,2011-04-21 18:02:18,[]
286210085,33139,2128,3112,0,2011-04-22 15:17:44,[]
286467194,8954,365,348,0,2011-04-23 02:12:47,[]
287305318,34203,208,821,7,2011-04-24 18:41:54,[]
287651437,798,92,193,0,2011-04-25 12:21:36,[]
287903719,2685,851,622,21,2011-04-25 22:11:53,[]
288217750,5332,213,310,0,2011-04-26 13:11:04,[]
288565086,25025,164,252,2,2011-04-27 02:32:03,[]
288840938,4153,425,466,2,2011-04-27 15:13:22,[]
289785441,1705,270,489,1,2011-04-29 06:22:19,[]
289844440,59719,8746,8786,297,2011-04-29 09:28:13,[]
289927627,78865,1682,806,11,2011-04-29 13:16:24,[]
291928027,1851,474,1111,14,2011-05-02 20:54:06,[]
292346678,46360,3775,2828,54,2011-05-03 14:15:11,[]
292620974,3465,201,694,0,2011-05-03 23:27:26,[]
293155290,18774,5361,1933,150,2011-05-04 21:14:42,[]
293375471,6140,14338,1294,12,2011-05-05 07:26:15,[]
293771058,3931,520,524,5,2011-05-05 23:17:29,[]
293966324,2714,838,23,0,2011-05-06 09:01:16,[]
294048159,18204,9455,1609,175,2011-05-06 12:55:12,[]
295100531,40709,2800,2029,26,2011-05-08 11:04:56,[]
295776552,28353,742,648,3,2011-05-09 17:03:23,[]
295813014,7739,324,475,5,2011-05-09 18:12:36,[]
296473376,37469,2157,1967,53,2011-05-10 20:32:17,[]
296972280,17464,231,254,3,2011-05-11 18:15:52,[]
298175262,12732,1281,1923,88,2011-05-13 21:06:16,[]
298217417,13454,15165,703,294,2011-05-13 22:48:38,[]
299819199,58223,1380,915,40,2011-05-16 18:41:23,[]
300182471,3862,1123,2479,51,2011-05-17 10:28:09,[]
301053691,2642,193,403,1,2011-05-18 20:03:11,[]
301086452,7328,338,887,5,2011-05-18 21:15:14,[]
304288652,34231,747,1291,13,2011-05-24 08:02:34,[]
305884932,40235,923,457,7,2011-05-26 23:08:48,[]
306366620,21309,614,753,5,2011-05-27 19:11:58,[]
307500420,14152,645,611,5,2011-05-29 19:07:14,[]
307558981,52555,3146,2440,83,2011-05-29 21:22:57,[]
307796858,15496,396,928,0,2011-05-30 09:22:46,[]
308023430,32478,1132,1891,69,2011-05-30 18:07:27,[]
309093251,19942,690,572,11,2011-06-01 14:31:13,[]
309674795,11344,226,685,1,2011-06-02 13:45:31,[]
309817388,17038,367,276,2,2011-06-02 18:30:45,[]
309834506,45638,5105,3324,147,2011-06-02 19:06:14,[]
309963587,6609,1122,1128,4,2011-06-02 23:50:15,"['🇻', '🇪']"
310306220,13667,411,511,2,2011-06-03 14:41:09,[]
